date,keyword,cpc,generated_text
2021-02-07,equipment,6.91,"""game"""
2021-02-07,wanderlust,8.95,"""fashion"""
2021-02-07,comfort,2.67,"""fashion"""
2021-02-07,sauce,4.86,"""cooking"""
2021-02-08,planetary science,0.24,"""space"""
2021-02-08,journey,2.54,"""travel"""
2021-02-08,city,3.76,"""sport"""
2021-02-08,dessert,7.0,"""cooking"""
2021-02-09,assessment,4.23,"""education"""
2021-02-09,accommodation,3.7,"""cooking"""
2021-02-09,breakfast,1.37,"""cooking"""
2021-02-10,seminar,8.8,"""education"""
2021-02-10,literature,2.71,"""cooking"""
2021-02-10,solar,2.57,"""cooking"""
2021-02-10,meditation,3.19,"""cooking"""
2021-02-10,recovery,4.38,"""sport"""
2021-02-11,critical thinking,8.15,"""education"""
2021-02-11,e-learning,5.77,"""education"""
2021-02-11,NASA,5.73,"""sport"""
2021-02-11,lunar,5.45,"""game"""
2021-02-11,resort,7.37,"""travel"""
2021-02-11,destination,1.33,"""travel"""
2021-02-11,baking,8.19,"""cooking"""
2021-02-11,restaurant,2.09,"""cooking"""
2021-02-12,space exploration,5.93,"""space"""
2021-02-12,stargazing,7.0,"""space"""
2021-02-12,fitness,6.57,"""sport"""
2021-02-12,cruise,9.21,"""travel"""
2021-02-12,salad,6.51,"""cooking"""
2021-02-13,extracurricular,6.03,"""sport"""
2021-02-13,teaching,5.08,"""education"""
2021-02-13,universe,6.03,"""game"""
2021-02-13,planet,2.69,"""sport"""
2021-02-13,budget,2.97,"""fashion"""
2021-02-13,sustainable,1.24,"""cooking"""
2021-02-13,brunch,1.45,"""cooking"""
2021-02-14,spacecraft,9.02,"""space"""
2021-02-14,destination,3.57,"""travel"""
2021-02-14,gluten-free,8.81,"""cooking"""
2021-02-15,classmate,8.58,"""game"""
2021-02-15,alien,2.19,"""space"""
2021-02-15,baseball,3.65,"""sport"""
2021-02-15,transport,5.16,"""sport"""
2021-02-15,tasting,5.16,"""cooking"""
2021-02-16,coursework,2.02,"""education"""
2021-02-16,stargazing,4.76,"""space"""
2021-02-16,astrophysics,4.01,"""space"""
2021-02-16,championship,3.32,"""sport"""
2021-02-16,strategy,6.79,"""game"""
2021-02-16,adventure travel,4.25,"""travel"""
2021-02-16,menu,3.03,"""game"""
2021-02-16,healthy,5.4,"""cooking"""
2021-02-17,degree,1.28,"""education"""
2021-02-17,gravity,4.73,"""sport"""
2021-02-17,adventure,3.29,"""sport"""
2021-02-17,recipe,6.78,"""cooking"""
2021-02-17,comfort,6.94,"""fashion"""
2021-02-18,teacher,1.43,"""education"""
2021-02-18,classmate,3.61,"""game"""
2021-02-18,alien,2.33,"""space"""
2021-02-18,athlete,7.06,"""sport"""
2021-02-18,wrestling,5.24,"""sport"""
2021-02-18,soup,0.54,"""cooking"""
2021-02-19,coursework,8.05,"""education"""
2021-02-19,satellite,2.06,"""sport"""
2021-02-19,cosmos,9.38,"""space"""
2021-02-19,athletics,4.48,"""sport"""
2021-02-19,gymnastics,5.3,"""sport"""
2021-02-19,garnish,1.38,"""fashion"""
2021-02-19,bistro,1.41,"""cooking"""
2021-02-20,online learning,5.83,"""education"""
2021-02-20,syllabus,6.45,"""game"""
2021-02-20,equipment,1.07,"""game"""
2021-02-20,chef,9.01,"""cooking"""
2021-02-22,education policy,4.3,"""education"""
2021-02-22,probe,2.41,"""game"""
2021-02-22,athlete,8.43,"""sport"""
2021-02-22,snack,0.46,"""cooking"""
2021-02-22,slow cooker,1.07,"""cooking"""
2021-02-23,study habits,8.9,"""education"""
2021-02-23,alien,9.24,"""space"""
2021-02-23,heritage,6.72,"""cooking"""
2021-02-24,skillset,4.65,"""game"""
2021-02-24,astrophysics,3.28,"""space"""
2021-02-24,sportsmanship,6.58,"""sport"""
2021-02-24,cycling,7.79,"""fashion"""
2021-02-24,adventure,5.37,"""sport"""
2021-02-24,heritage,8.6,"""cooking"""
2021-02-24,sauce,0.15,"""cooking"""
2021-02-25,qualification,3.41,"""education"""
2021-02-25,specialization,5.75,"""education"""
2021-02-25,galaxy,5.48,"""game"""
2021-02-25,athlete,2.63,"""sport"""
2021-02-25,photography,6.92,"""fashion"""
2021-02-25,sustainable,0.4,"""cooking"""
2021-02-26,e-learning,4.15,"""education"""
2021-02-26,workshop,6.01,"""education"""
2021-02-26,stargazing,5.41,"""space"""
2021-02-26,equipment,9.04,"""game"""
2021-02-26,esports,8.4,"""sport"""
2021-02-26,menu,5.58,"""game"""
2021-02-27,assessment,4.85,"""education"""
2021-02-27,space exploration,7.17,"""space"""
2021-02-27,cruise,6.81,"""travel"""
2021-02-27,adventure travel,2.29,"""travel"""
2021-02-27,recipe,3.77,"""cooking"""
2021-02-27,dip,7.5,"""sport"""
2021-02-28,alien,9.85,"""space"""
2021-02-28,healthy,0.89,"""cooking"""
2021-02-28,gluten-free,7.76,"""cooking"""
2021-03-01,student,4.38,"""education"""
2021-03-01,black hole,0.64,"""game"""
2021-03-01,launch,4.74,"""game"""
2021-03-01,culinary,0.49,"""cooking"""
2021-03-01,city tour,1.05,"""travel"""
2021-03-01,fusion,8.64,"""game"""
2021-03-02,literature,3.54,"""cooking"""
2021-03-02,assessment tool,4.52,"""education"""
2021-03-02,lunar,0.11,"""game"""
2021-03-02,skateboarding,4.4,"""sport"""
2021-03-02,coach,3.63,"""sport"""
2021-03-02,heritage,8.09,"""cooking"""
2021-03-02,lunch,9.03,"""cooking"""
2021-03-02,kitchen,7.44,"""cooking"""
2021-03-03,critical thinking,3.43,"""education"""
2021-03-03,star,1.83,"""sport"""
2021-03-03,competition,6.15,"""sport"""
2021-03-03,sportsmanship,7.12,"""sport"""
2021-03-03,travel community,5.7,"""travel"""
2021-03-03,local,1.38,"""travel"""
2021-03-03,dip,9.1,"""sport"""
2021-03-04,NASA,9.41,"""sport"""
2021-03-04,wormhole,1.67,"""game"""
2021-03-04,marathon,9.94,"""sport"""
2021-03-04,cricket,7.62,"""game"""
2021-03-04,fusion,1.69,"""game"""
2021-03-04,baking,3.08,"""cooking"""
2021-03-05,assessment,8.91,"""education"""
2021-03-05,certification,5.71,"""cooking"""
2021-03-05,gravity,0.46,"""sport"""
2021-03-05,cruise,2.25,"""travel"""
2021-03-05,travel agent,8.32,"""travel"""
2021-03-05,meal prep,9.33,"""cooking"""
2021-03-06,milky way,1.65,"""cooking"""
2021-03-06,stargazing,5.87,"""space"""
2021-03-06,referee,0.57,"""education"""
2021-03-06,festival,2.15,"""fashion"""
2021-03-06,spice,5.01,"""cooking"""
2021-03-06,soup,6.99,"""cooking"""
2021-03-07,online learning,5.95,"""education"""
2021-03-07,astronomer,2.67,"""space"""
2021-03-07,interstellar,5.49,"""space"""
2021-03-07,dining,7.63,"""cooking"""
2021-03-07,international,4.29,"""travel"""
2021-03-08,critical thinking,9.89,"""education"""
2021-03-08,adventure,9.23,"""sport"""
2021-03-08,travel agent,7.09,"""travel"""
2021-03-09,innovation,9.1,"""game"""
2021-03-09,student,5.19,"""education"""
2021-03-09,astronomy,3.27,"""space"""
2021-03-09,telescope,9.8,"""space"""
2021-03-09,hockey,4.68,"""sport"""
2021-03-09,dip,2.88,"""sport"""
2021-03-10,eco-tourism,7.34,"""travel"""
2021-03-10,pasta,1.04,"""cooking"""
2021-03-10,vegetarian,4.23,"""cooking"""
2021-03-11,teacher,4.9,"""education"""
2021-03-11,learning,2.43,"""education"""
2021-03-11,astronomy,1.62,"""space"""
2021-03-11,celestial,7.81,"""cooking"""
2021-03-11,lunch,0.7,"""cooking"""
2021-03-11,meal prep,8.48,"""cooking"""
2021-03-12,skillset,1.08,"""game"""
2021-03-12,gravitation,8.72,"""sport"""
2021-03-12,scores,2.18,"""sport"""
2021-03-12,catering,8.33,"""fashion"""
2021-03-12,international,1.48,"""travel"""
2021-03-13,qualification,7.19,"""education"""
2021-03-13,guidebook,1.32,"""travel"""
2021-03-13,wanderlust,0.41,"""fashion"""
2021-03-13,restaurant,7.92,"""cooking"""
2021-03-13,flavor,0.73,"""cooking"""
2021-03-14,university,1.68,"""education"""
2021-03-14,martian,5.0,"""cooking"""
2021-03-14,beach,3.77,"""sport"""
2021-03-14,adventure,0.25,"""sport"""
2021-03-15,interstellar,5.99,"""space"""
2021-03-15,fanbase,8.61,"""game"""
2021-03-15,healthy,3.75,"""cooking"""
2021-03-15,dip,4.96,"""sport"""
2021-03-16,assessment tool,5.04,"""education"""
2021-03-16,performance,9.4,"""sport"""
2021-03-17,assessment,8.65,"""education"""
2021-03-17,black hole,5.53,"""game"""
2021-03-17,star,2.09,"""sport"""
2021-03-17,hockey,7.28,"""sport"""
2021-03-17,team,7.94,"""sport"""
2021-03-17,recipe,3.25,"""cooking"""
2021-03-17,cookware,6.56,"""cooking"""
2021-03-18,university,7.28,"""education"""
2021-03-18,spacecraft,7.14,"""space"""
2021-03-18,highlights,6.32,"""game"""
2021-03-18,sportsmanship,2.49,"""sport"""
2021-03-18,eco-tourism,6.91,"""travel"""
2021-03-18,recipe,5.01,"""cooking"""
2021-03-18,tasting,1.66,"""cooking"""
2021-03-19,e-learning,9.17,"""education"""
2021-03-19,learning,5.18,"""education"""
2021-03-19,ingredient,2.64,"""cooking"""
2021-03-19,garnish,3.16,"""fashion"""
2021-03-20,extracurricular,4.08,"""sport"""
2021-03-20,ionosphere,6.36,"""space"""
2021-03-20,heritage,4.2,"""cooking"""
2021-03-20,steak,1.79,"""cooking"""
2021-03-20,sustainable,2.81,"""cooking"""
2021-03-21,academic,8.34,"""education"""
2021-03-21,lectures,8.73,"""education"""
2021-03-21,solar system,4.67,"""space"""
2021-03-21,swimming,6.75,"""sport"""
2021-03-21,team,0.53,"""sport"""
2021-03-21,lunch,1.38,"""cooking"""
2021-03-22,assessment,4.4,"""education"""
2021-03-22,schooling,3.34,"""education"""
2021-03-22,ionosphere,8.02,"""space"""
2021-03-22,equipment,2.91,"""game"""
2021-03-22,fanbase,1.55,"""game"""
2021-03-22,experience,0.28,"""travel"""
2021-03-22,budget,4.74,"""fashion"""
2021-03-23,knowledge,4.15,"""education"""
2021-03-23,professor,5.38,"""education"""
2021-03-23,milky way,3.91,"""cooking"""
2021-03-23,tennis,9.87,"""sport"""
2021-03-23,presentation,1.88,"""education"""
2021-03-24,extracurricular,7.11,"""sport"""
2021-03-24,professor,6.86,"""education"""
2021-03-24,space station,0.4,"""space"""
2021-03-24,interstellar,6.03,"""space"""
2021-03-24,championship,2.17,"""sport"""
2021-03-24,performance,7.15,"""sport"""
2021-03-24,cookware,0.31,"""cooking"""
2021-03-25,pedagogy,0.9,"""education"""
2021-03-25,diploma,7.65,"""education"""
2021-03-25,mission,5.34,"""game"""
2021-03-25,strategy,4.05,"""game"""
2021-03-25,sports gear,3.81,"""sport"""
2021-03-25,restaurant,1.41,"""cooking"""
2021-03-26,lectures,1.58,"""education"""
2021-03-26,internship,8.77,"""cooking"""
2021-03-26,spacewalk,0.94,"""space"""
2021-03-26,meal prep,7.31,"""cooking"""
2021-03-27,classmate,1.27,"""game"""
2021-03-27,curriculum,3.98,"""education"""
2021-03-27,solar system,2.83,"""space"""
2021-03-27,agility,8.4,"""sport"""
2021-03-27,sponsorship,3.91,"""game"""
2021-03-27,getaway,0.6,"""travel"""
2021-03-27,flight,6.24,"""sport"""
2021-03-27,dip,8.27,"""sport"""
2021-03-27,stir fry,4.44,"""cooking"""
2021-03-28,learning,5.26,"""education"""
2021-03-28,education policy,5.52,"""education"""
2021-03-28,cosmic rays,1.56,"""space"""
2021-03-28,stir fry,5.97,"""cooking"""
2021-03-28,recipe,8.79,"""cooking"""
2021-03-29,matriculation,9.11,"""education"""
2021-03-29,evaluation,8.6,"""education"""
2021-03-29,solar system,2.76,"""space"""
2021-03-29,exoplanet,6.45,"""space"""
2021-03-29,beach,4.52,"""sport"""
2021-03-29,restaurant,0.4,"""cooking"""
2021-03-30,alien,1.98,"""space"""
2021-03-30,interstellar,9.0,"""space"""
2021-03-30,injury,9.71,"""sport"""
2021-03-30,passport,0.86,"""travel"""
2021-03-30,hiking,0.81,"""sport"""
2021-03-30,gluten-free,8.88,"""cooking"""
2021-03-31,hockey,9.5,"""sport"""
2021-03-31,travel agent,6.32,"""travel"""
2021-03-31,local,5.02,"""travel"""
2021-04-01,skillset,5.37,"""game"""
2021-04-01,black hole,7.89,"""game"""
2021-04-01,ionosphere,6.23,"""space"""
2021-04-01,athletics,3.93,"""sport"""
2021-04-01,healthy,8.99,"""cooking"""
2021-04-01,kitchen,1.01,"""cooking"""
2021-04-02,meal prep,9.18,"""cooking"""
2021-04-03,teaching,0.8,"""education"""
2021-04-03,curriculum,7.71,"""education"""
2021-04-03,rugby,3.18,"""sport"""
2021-04-03,officiating,4.91,"""sport"""
2021-04-03,tour,8.59,"""travel"""
2021-04-03,stir fry,7.91,"""cooking"""
2021-04-04,adventure,3.81,"""sport"""
2021-04-04,destination,2.3,"""travel"""
2021-04-04,international,5.77,"""travel"""
2021-04-05,science fair,9.3,"""education"""
2021-04-05,coursework,5.31,"""education"""
2021-04-05,agility,1.34,"""sport"""
2021-04-06,space station,8.14,"""space"""
2021-04-06,orbit,2.8,"""space"""
2021-04-06,match,9.11,"""sport"""
2021-04-06,esports,0.54,"""sport"""
2021-04-06,baking,7.26,"""cooking"""
2021-04-07,college,5.21,"""education"""
2021-04-07,gymnastics,7.24,"""sport"""
2021-04-07,culinary,2.18,"""cooking"""
2021-04-07,cruise,5.29,"""travel"""
2021-04-07,seafood,8.43,"""cooking"""
2021-04-07,gluten-free,6.8,"""cooking"""
2021-04-08,space station,1.54,"""space"""
2021-04-08,planetary science,6.17,"""space"""
2021-04-08,championship,0.82,"""sport"""
2021-04-08,experience,4.49,"""travel"""
2021-04-08,adventure,3.06,"""sport"""
2021-04-08,baking,1.19,"""cooking"""
2021-04-08,cafe,6.64,"""cooking"""
2021-04-09,study habits,9.77,"""education"""
2021-04-09,NASA,4.29,"""sport"""
2021-04-09,gravitation,1.28,"""sport"""
2021-04-09,flight,5.15,"""sport"""
2021-04-09,menu,3.17,"""game"""
2021-04-10,travel blog,5.68,"""travel"""
2021-04-10,spice,6.57,"""cooking"""
2021-04-10,cafe,1.44,"""cooking"""
2021-04-11,spacecraft,8.92,"""space"""
2021-04-11,probe,7.39,"""game"""
2021-04-11,guidebook,6.81,"""travel"""
2021-04-11,stir fry,2.52,"""cooking"""
2021-04-12,universe,9.59,"""game"""
2021-04-12,team,4.01,"""sport"""
2021-04-12,warmup,6.92,"""game"""
2021-04-13,education policy,9.24,"""education"""
2021-04-13,nebula,1.45,"""space"""
2021-04-13,celestial,8.03,"""cooking"""
2021-04-13,gymnastics,6.08,"""sport"""
2021-04-13,strategy,6.69,"""game"""
2021-04-13,sustainable,6.92,"""cooking"""
2021-04-13,itinerary,0.57,"""travel"""
2021-04-13,healthy,5.15,"""cooking"""
2021-04-14,diploma,2.82,"""education"""
2021-04-14,critical thinking,8.51,"""education"""
2021-04-14,planetary science,8.13,"""space"""
2021-04-14,gymnastics,7.63,"""sport"""
2021-04-14,strategy,9.76,"""game"""
2021-04-14,vacation,9.17,"""travel"""
2021-04-14,breakfast,1.72,"""cooking"""
2021-04-14,recipe,4.47,"""cooking"""
2021-04-15,teacher,1.42,"""education"""
2021-04-15,space station,8.39,"""space"""
2021-04-16,research,0.86,"""game"""
2021-04-16,innovation,0.65,"""game"""
2021-04-16,stargazing,6.17,"""space"""
2021-04-16,planetary science,3.71,"""space"""
2021-04-16,budget,2.97,"""fashion"""
2021-04-17,seasonal,9.94,"""fashion"""
2021-04-18,training,3.56,"""education"""
2021-04-18,milky way,9.51,"""cooking"""
2021-04-18,stargazing,2.97,"""space"""
2021-04-18,drills,2.27,"""sport"""
2021-04-18,vacation,5.49,"""travel"""
2021-04-18,culinary,7.48,"""cooking"""
2021-04-18,restaurant,6.78,"""cooking"""
2021-04-18,stir fry,5.3,"""cooking"""
2021-04-19,education policy,5.09,"""education"""
2021-04-19,star,1.58,"""sport"""
2021-04-19,excursion,7.04,"""travel"""
2021-04-20,space exploration,9.04,"""space"""
2021-04-20,black hole,2.49,"""game"""
2021-04-20,equipment,8.46,"""game"""
2021-04-20,fitness,8.01,"""sport"""
2021-04-21,star,9.45,"""sport"""
2021-04-21,esports,5.57,"""sport"""
2021-04-21,beach,6.03,"""sport"""
2021-04-21,healthy,7.49,"""cooking"""
2021-04-21,international,3.25,"""travel"""
2021-04-22,seminar,5.14,"""education"""
2021-04-22,ionosphere,3.48,"""space"""
2021-04-22,team,9.64,"""sport"""
2021-04-22,football,6.07,"""sport"""
2021-04-22,accommodation,8.79,"""cooking"""
2021-04-22,cooking,2.3,"""cooking"""
2021-04-23,learning,5.54,"""education"""
2021-04-23,evaluation,5.39,"""education"""
2021-04-23,black hole,3.14,"""game"""
2021-04-23,astrophysics,0.4,"""space"""
2021-04-23,hockey,5.29,"""sport"""
2021-04-23,bakery,3.92,"""cooking"""
2021-04-23,dining,4.79,"""cooking"""
2021-04-24,space exploration,9.84,"""space"""
2021-04-24,cosmology,6.18,"""space"""
2021-04-24,skateboarding,4.63,"""sport"""
2021-04-24,team,2.13,"""sport"""
2021-04-24,nature,1.46,"""sport"""
2021-04-24,tasting,3.14,"""cooking"""
2021-04-24,kitchen,3.8,"""cooking"""
2021-04-25,interstellar,8.37,"""space"""
2021-04-25,galaxy,1.55,"""game"""
2021-04-25,wanderlust,2.07,"""fashion"""
2021-04-25,ingredient,1.51,"""cooking"""
2021-04-25,seasonal,2.33,"""fashion"""
2021-04-26,evaluation,8.0,"""education"""
2021-04-26,martian,3.12,"""cooking"""
2021-04-26,wormhole,5.73,"""game"""
2021-04-26,rugby,0.57,"""sport"""
2021-04-26,football,8.71,"""sport"""
2021-04-26,beach,9.42,"""sport"""
2021-04-26,vegan,5.54,"""cooking"""
2021-04-26,chef,9.29,"""cooking"""
2021-04-27,diploma,9.16,"""education"""
2021-04-27,academic,3.35,"""education"""
2021-04-27,orbiting,4.45,"""space"""
2021-04-27,wanderlust,3.71,"""fashion"""
2021-04-27,spice,8.94,"""cooking"""
2021-04-28,knowledge,8.77,"""education"""
2021-04-28,universe,8.03,"""game"""
2021-04-28,picturesque,3.0,"""fashion"""
2021-04-28,sightseeing,1.36,"""travel"""
2021-04-28,cookware,9.95,"""cooking"""
2021-04-28,snack,5.63,"""cooking"""
2021-04-29,assessment,7.81,"""education"""
2021-04-29,telescope,5.19,"""space"""
2021-04-29,star,9.23,"""sport"""
2021-04-29,team,7.29,"""sport"""
2021-04-29,athletics,8.98,"""sport"""
2021-04-29,adventure,9.0,"""sport"""
2021-04-29,historical,6.95,"""game"""
2021-04-29,brunch,1.12,"""cooking"""
2021-04-29,seafood,6.55,"""cooking"""
2021-04-30,observatory,6.93,"""game"""
2021-05-01,university,0.61,"""education"""
2021-05-01,cycling,8.5,"""fashion"""
2021-05-01,sightseeing,4.06,"""travel"""
2021-05-01,brunch,0.83,"""cooking"""
2021-05-02,spacewalk,6.0,"""space"""
2021-05-02,astronomer,9.12,"""space"""
2021-05-02,baseball,0.27,"""sport"""
2021-05-02,beach,8.55,"""sport"""
2021-05-02,nature,5.31,"""sport"""
2021-05-03,exams,0.12,"""education"""
2021-05-03,pedagogy,1.05,"""education"""
2021-05-03,rocket,9.16,"""sport"""
2021-05-03,transportation,6.14,"""travel"""
2021-05-03,guidebook,2.51,"""travel"""
2021-05-04,evaluation,9.54,"""education"""
2021-05-04,black hole,5.61,"""game"""
2021-05-04,guidebook,6.21,"""travel"""
2021-05-04,sustainable,7.49,"""cooking"""
2021-05-04,technique,9.42,"""game"""
2021-05-05,online learning,7.12,"""education"""
2021-05-05,tutoring,0.75,"""sport"""
2021-05-05,orbiting,8.66,"""space"""
2021-05-05,destination,3.97,"""travel"""
2021-05-05,lunch,8.08,"""cooking"""
2021-05-05,presentation,0.39,"""education"""
2021-05-06,learning,9.83,"""education"""
2021-05-06,travel blog,1.96,"""travel"""
2021-05-06,presentation,6.46,"""education"""
2021-05-07,student,1.58,"""education"""
